car,cylinders,displacement,horsepower,weight,model,origin
Pontiac Safari (sw),8,400,175,5140,71,US
AMC Hornet Sportabout (sw),6,258,110,2962,71,US
Chevrolet Vega (sw),4,140,72,2408,71,US
Pontiac Firebird,6,250,100,3282,71,US
Ford Mustang,6,250,88,3139,71,US
Mercury Capri 2000,4,122,86,2220,71,US
Opel 1900,4,116,90,2123,71,Europe
Peugeot 304,4,79,70,2074,71,Europe
Fiat 124B,4,88,76,2065,71,Europe
Toyota Corolla 1200,4,71,65,1773,71,Japan
Datsun 1200,4,72,69,1613,71,Japan
Volkswagen Model 111,4,97,60,1834,71,Europe
Plymouth Cricket,4,91,70,1955,71,US
Toyota Corolla Hardtop,4,113,95,2278,72,Japan
Dodge Colt Hardtop,4,98,80,2126,72,US
Volkswagen Type 3,4,97,54,2254,72,Europe
Chevrolet Vega,4,140,90,2408,72,US
Ford Pinto Runabout,4,122,86,2226,72,US
Chevrolet Impala,8,350,165,4274,72,US
Pontiac Catalina,8,400,175,4385,72,US
Plymouth Fury III,8,318,150,4135,72,US
Ford Galaxie 500,8,351,153,4129,72,US
AMC Ambassador SST,8,304,150,3672,72,US
Mercury Marquis,8,429,208,4633,72,US
Buick LeSabre Custom,8,350,155,4502,72,US
Oldsmobile Delta 88 Royale,8,350,160,4456,72,US
Chrysler Newport Royal,8,400,190,4422,72,US
Mazda RX2 Coupe,3,70,97,2330,72,Japan
AMC Matador (sw),8,304,150,3892,72,US
Chevrolet Chevelle Concours (sw),8,307,130,4098,72,US
Ford Gran Torino (sw),8,302,140,4294,72,US
Plymouth Satellite Custom (sw),8,318,150,4077,72,US
Volvo 145e (sw),4,121,112,2933,72,Europe
Volkswagen 411 (sw),4,121,76,2511,72,Europe
Peugeot 504 (sw),4,120,87,2979,72,Europe
Renault 12 (sw),4,96,69,2189,72,Europe
Ford Pinto (sw),4,122,86,2395,72,US
Datsun 510 (sw),4,97,92,2288,72,Japan
Toyota Corolla Mark II (sw),4,120,97,2506,72,Japan
Dodge Colt (sw),4,98,80,2164,72,US
Toyota Corolla 1600 (sw),4,97,88,2100,72,Japan
Buick Century 350,8,350,175,4100,73,US
AMC Matador,8,304,150,3672,73,US
Chevrolet Malibu,8,350,145,3988,73,US
Ford Gran Torino,8,302,137,4042,73,US
Dodge Coronet Custom,8,318,150,3777,73,US
Mercury Marquis Brougham,8,429,198,4952,73,US
Chevrolet Caprice Classic,8,400,150,4464,73,US
Ford LTD,8,351,158,4363,73,US
Plymouth Fury Gran Sedan,8,318,150,4237,73,US
Chrysler New Yorker Brougham,8,440,215,4735,73,US
Buick Electra 225 Custom,8,455,225,4951,73,US
AMC Ambassador Brougham,8,360,175,3821,73,US
Plymouth Valiant,6,225,105,3121,73,US
Chevrolet Nova Custom,6,250,100,3278,73,US
AMC Hornet,6,232,100,2945,73,US
Ford Maverick,6,250,88,3021,73,US
Plymouth Duster,6,198,95,2904,73,US
Volkswagen Super Beetle,4,97,46,1950,73,Europe
Chevrolet Impala,8,400,150,4997,73,US
Ford Country,8,400,167,4906,73,US
Plymouth Custom Suburb,8,360,170,4654,73,US
Oldsmobile Vista Cruiser,8,350,180,4499,73,US
AMC Gremlin,6,232,100,2789,73,US
Toyota Camry,4,97,88,2279,73,Japan
Chevrolet Vega,4,140,72,2401,73,US
Datsun 610,4,108,94,2379,73,Japan
Mazda RX3,3,70,90,2124,73,Japan
Ford Pinto,4,122,85,2310,73,US
Mercury Capri v6,6,155,107,2472,73,US
Fiat 124 Sport Coupe,4,98,90,2265,73,Europe
Chevrolet Monte Carlo S,8,350,145,4082,73,US
Pontiac Grand Prix,8,400,230,4278,73,US
Fiat 128,4,68,49,1867,73,Europe
Opel Manta,4,116,75,2158,73,Europe
Audi 100LS,4,114,91,2582,73,Europe
Volvo 144ea,4,121,112,2868,73,Europe
Dodge Dart Custom,8,318,150,3399,73,US
Saab 99le,4,121,110,2660,73,Europe
Toyota Mark II,6,156,122,2807,73,Japan
Oldsmobile Omega,8,350,180,3664,73,US
Plymouth Duster,6,198,95,3102,74,US
AMC Hornet,6,232,100,2901,74,US
Chevrolet Nova,6,250,100,3336,74,US
Datsun B210,4,79,67,1950,74,Japan
Ford Pinto,4,122,80,2451,74,US
Toyota Corolla 1200,4,71,65,1836,74,Japan
Chevrolet Vega,4,140,75,2542,74,US
Chevrolet Chevelle Malibu Classic,6,250,100,3781,74,US
AMC Matador,6,258,110,3632,74,US
Plymouth Satellite Sebring,6,225,105,3613,74,US
Ford Gran Torino,8,302,140,4141,74,US
Buick Century Luxus (sw),8,350,150,4699,74,US
Dodge Coronet Custom (sw),8,318,150,4457,74,US
Ford Gran Torino (sw),8,302,140,4638,74,US
AMC Matador (sw),8,304,150,4257,74,US
Audi Fox,4,98,83,2219,74,Europe
Volkswagen Dasher,4,79,67,1963,74,Europe
Opel Manta,4,97,78,2300,74,Europe
Toyota Corolla,4,76,52,1649,74,Japan
Datsun 710,4,83,61,2003,74,Japan
Dodge Colt,4,90,75,2125,74,US
Fiat 128,4,90,75,2108,74,Europe
Fiat 124 TC,4,116,75,2246,74,Europe
Honda Civic,4,120,97,2489,74,Japan
Subaru,4,108,93,2391,74,Japan
Fiat x1.9,4,79,67,2000,74,Europe
Plymouth Valiant Custom,6,225,95,3264,75,US
Chevrolet Nova,6,250,105,3459,75,US
Mercury Monarch,6,250,72,3432,75,US
Ford Maverick,6,250,72,3158,75,US
Pontiac Catalina,8,400,170,4668,75,US
Chevrolet Bel Air,8,350,145,4440,75,US
Plymouth Grand Fury,8,318,150,4498,75,US
Ford LTD,8,351,148,4657,75,US
Buick Century,6,231,110,3907,75,US
Chevrolete Chevelle Malibu,6,250,105,3897,75,US
AMC Matador,6,258,110,3730,75,US
Plymouth Fury,6,225,95,3785,75,US
Buick Skyhawk,6,231,110,3039,75,US
Chevrolet Monza 2+2,8,262,110,3221,75,US
Ford Mustang II,8,302,129,3169,75,US
Toyota Corolla,4,97,75,2171,75,Japan
Ford Pinto,4,140,83,2639,75,US
AMC Gremlin,6,232,100,2914,75,US
Pontiac Astro,4,140,78,2592,75,US
Toyota Corolla,4,134,96,2702,75,Japan
Volkswagen Dasher,4,90,71,2223,75,Europe
Datsun 710,4,119,97,2545,75,Japan
Ford Pinto,6,171,97,2984,75,US
Volkswagen Rabbit,4,90,70,1937,75,Europe
AMC Pacer,6,232,90,3211,75,US
Audi 100LS,4,115,95,2694,75,Europe
Peugeot 504,4,120,88,2957,75,Europe
Volvo 244DL,4,121,98,2945,75,Europe
Saab 99LE,4,121,115,2671,75,Europe
Honda Civic CVCC,4,91,53,1795,75,Japan
Fiat 131,4,107,86,2464,76,Europe
Opel 1900,4,116,81,2220,76,Europe
Capri ii,4,140,92,2572,76,US
Dodge Colt,4,98,79,2255,76,US
Renault 12tl,4,101,83,2202,76,Europe
Chevrolet Chevelle Malibu Classic,8,305,140,4215,76,US
Dodge Coronet Brougham,8,318,150,4190,76,US
AMC Matador,8,304,120,3962,76,US
Ford Gran Torino,8,351,152,4215,76,US
Plymouth Valiant,6,225,100,3233,76,US
Chevrolet Nova,6,250,105,3353,76,US
Ford Maverick,6,200,81,3012,76,US
AMC Hornet,6,232,90,3085,76,US
Chevrolet Chevette,4,85,52,2035,76,US
Chevrolet Woody,4,98,60,2164,76,US
Volkswagen Rabbit,4,90,70,1937,76,Europe
Honda Civic,4,91,53,1795,76,Japan
Dodge Aspen SE,6,225,100,3651,76,US
Ford Grenada ghia,6,250,78,3574,76,US
Pontiac Ventura SJ,6,250,110,3645,76,US
AMC Pacer d/l,6,258,95,3193,76,US
Volkswagen Rabbit,4,97,71,1825,76,Europe
Datsun B-210,4,85,70,1990,76,Japan
Toyota Corolla,4,97,75,2155,76,Japan
Ford Pinto,4,140,72,2565,76,US
Volvo 245,4,130,102,3150,76,Europe
Plymouth Volare Premier v8,8,318,150,3940,76,US
Peugeot 504,4,120,88,3270,76,Europe
Toyota Mark II,6,156,108,2930,76,Japan
Mercedes-Benz 280s,6,168,120,3820,76,Europe
Cadillac Seville,8,350,180,4380,76,US
Chevrolet C10,8,350,145,4055,76,US
Ford F108,8,302,130,3870,76,US
Dodge D100,8,318,150,3755,76,US
Honda Accord CVCC,4,98,68,2045,77,Japan
Buick Opel Isuzu Deluxe,4,111,80,2155,77,US
Renault 5 GTL,4,79,58,1825,77,Europe
Plymouth Arrow GS,4,122,96,2300,77,US
Datsun F-10 Hatchback,4,85,70,1945,77,Japan
Chevrolet Caprice Classic,8,305,145,3880,77,US
Oldsmobile Cutlass Supreme,8,260,110,4060,77,US
Dodge Monaco Brougham,8,318,145,4140,77,US
Mercury Cougar Brougham,8,302,130,4295,77,US
Chevrolet Concours,6,250,110,3520,77,US
Buick Skylark,6,231,105,3425,77,US
Plymouth Volare Custom,6,225,100,3630,77,US
Ford Grenada,6,250,98,3525,77,US
Pontiac Grand Prix LJ,8,400,180,4220,77,US
Chevrolet Monte Carlo Landau,8,350,170,4165,77,US
Chrysler Cordoba,8,400,190,4325,77,US
Ford Thunderbird,8,351,149,4335,77,US
Volkswagen Rabbit Custom,4,97,78,1940,77,Europe
Pontiac Sunbird Coupe,4,151,88,2740,77,US
Toyota Corolla Liftback,4,97,75,2265,77,Japan
Ford Mustang II 2+2,4,140,89,2755,77,US
Chevrolet Chevette,4,98,63,2051,77,US
Dodge Colt m/m,4,98,83,2075,77,US
Subaru DL,4,97,67,1985,77,Japan
Volkswagen Dasher,4,97,78,2190,77,Europe
Datsun 810,6,146,97,2815,77,Japan
BMW 320i,4,121,110,2600,77,Europe
Mazda RX-4,3,80,110,2720,77,Japan
Volkswagen Rabbit Custom Diesel,4,90,48,1985,78,Europe
Ford Fiesta,4,98,66,1800,78,US
Mazda GLC Deluxe,4,78,52,1985,78,Japan
Datsun B210 GX,4,85,70,2070,78,Japan
Honda Civic CVCC,4,91,60,1800,78,Japan
Oldsmobile Cutlass Salon Brougham,8,260,110,3365,78,US
Dodge Diplomat,8,318,140,3735,78,US
Mercury Monarch ghia,8,302,139,3570,78,US
Pontiac Phoenix LJ,6,231,105,3535,78,US
Chevrolet Malibu,6,200,95,3155,78,US
Ford Fairmont (auto),6,200,85,2965,78,US
Ford Fairmont (man),4,140,88,2720,78,US
Plymouth Volare,6,225,100,3430,78,US
AMC Concord,6,232,90,3210,78,US
Buick Century Special,6,231,105,3380,78,US
Mercury Zephyr,6,200,85,3070,78,US
Dodge Aspen,6,225,110,3620,78,US
AMC Concord d/l,6,258,120,3410,78,US
Chevrolet Monte Carlo Landau,8,305,145,3425,78,US
Buick Regal Sport Coupe (turbo),6,231,165,3445,78,US
Ford Futura,8,302,139,3205,78,US
Dodge Magnum XE,8,318,140,4080,78,US
Chevrolet Chevette,4,98,68,2155,78,US
Toyota Corolla,4,134,95,2560,78,Japan
Datsun 510,4,119,97,2300,78,Japan
Dodge Omni,4,105,75,2230,78,US
Toyota Celica GT Liftback,4,134,95,2515,78,Japan
Plymouth Sapporo,4,156,105,2745,78,US
Oldsmobile Starfire SX,4,151,85,2855,78,US
Datsun 200-SX,4,119,97,2405,78,Japan
Audi 5000,5,131,103,2830,78,Europe
Volvo 264gl,6,163,125,3140,78,Europe
Saab 99gle,4,121,115,2795,78,Europe
Peugeot 604sl,6,163,133,3410,78,Europe
Volkswagen Scirocco,4,89,71,1990,78,Europe
Honda Accord LX,4,98,68,2135,78,Japan
Pontiac Lemans V6,6,231,115,3245,79,US
Mercury Zephyr 6,6,200,85,2990,79,US
Ford Fairmont 4,4,140,88,2890,79,US
AMC Concord DL 6,6,232,90,3265,79,US
Dodge Aspen 6,6,225,110,3360,79,US
Chevrolet Caprice Classic,8,305,130,3840,79,US
Ford LTD Landau,8,302,129,3725,79,US
Mercury Grand Marquis,8,351,138,3955,79,US
Dodge St. Regis,8,318,135,3830,79,US
Buick Estate Wagon (sw),8,350,155,4360,79,US
Ford Country Squire (sw),8,351,142,4054,79,US
Chevrolet Malibu Classic (sw),8,267,125,3605,79,US
Chrysler Lebaron Town @ Country (sw),8,360,150,3940,79,US
Volkswagen Rabbit Custom,4,89,71,1925,79,Europe
Mazda GLC Deluxe,4,86,65,1975,79,Japan
Dodge Colt Hatchback Custom,4,98,80,1915,79,US
AMC Spirit DL,4,121,80,2670,79,US
Mercedes Benz 300d,5,183,77,3530,79,Europe
Cadillac Eldorado,8,350,125,3900,79,US
Peugeot 504,4,141,71,3190,79,Europe
Oldsmobile Cutlass Salon Brougham,8,260,90,3420,79,US
Plymouth Horizon,4,105,70,2200,79,US
Plymouth Horizon TC3,4,105,70,2150,79,US
Datsun 210,4,85,65,2020,79,Japan
Fiat Strada Custom,4,91,69,2130,79,Europe
Buick Skylark Limited,4,151,90,2670,79,US
Chevrolet Citation,6,173,115,2595,79,US
Oldsmobile Omega Brougham,6,173,115,2700,79,US
Pontiac Phoenix,4,151,90,2556,79,US
Volkswagen Rabbit,4,98,76,2144,80,Europe
Toyota Corolla Tercel,4,89,60,1968,80,Japan
Chevrolet Chevette,4,98,70,2120,80,US
Datsun 310,4,86,65,2019,80,Japan
Chevrolet Citation,4,151,90,2678,80,US
Ford Fairmont,4,140,88,2870,80,US
AMC Concord,4,151,90,3003,80,US
Dodge Aspen,6,225,90,3381,80,US
Audi 4000,4,97,78,2188,80,Europe
Toyota Corolla Liftback,4,134,90,2711,80,Japan
Mazda 626,4,120,75,2542,80,Japan
Datsun 510 Hatchback,4,119,92,2434,80,Japan
Toyota Corolla,4,108,75,2265,80,Japan
Mazda GLC,4,86,65,2110,80,Japan
Dodge Colt,4,156,105,2800,80,US
Datsun 210,4,85,65,2110,80,Japan
Volkswagen Rabbit C (Diesel),4,90,48,2085,80,Europe
Volkswagen Dasher (diesel),4,90,48,2335,80,Europe
Audi 5000s (diesel),5,121,67,2950,80,Europe
Mercedes-Benz 240d,4,146,67,3250,80,Europe
Honda Civic 1500 gl,4,91,67,1850,80,Japan
Subaru DL,4,97,67,2145,80,Japan
Volkswagen Rabbit,4,89,62,1845,80,Europe
Datsun 280-ZX,6,168,132,2910,80,Japan
Mazda RX-7 GS,3,70,100,2420,80,Japan
Triumph TR7 Coupe,4,122,88,2500,80,Europe
Honda Accord,4,107,72,2290,80,Japan
Plymouth Reliant,4,135,84,2490,81,US
Buick Skylark,4,151,84,2635,81,US
Dodge Aries Wagon (sw),4,156,92,2620,81,US
Chevrolet Citation,6,173,110,2725,81,US
Plymouth Reliant,4,135,84,2385,81,US
Toyota Starlet,4,79,58,1755,81,Japan
Plymouth Champ,4,86,64,1875,81,US
Honda Civic 1300,4,81,60,1760,81,Japan
Subaru,4,97,67,2065,81,Japan
Datsun 210 MPG,4,85,65,1975,81,Japan
Toyota Tercel,4,89,62,2050,81,Japan
Mazda GLC 4,4,91,68,1985,81,Japan
Plymouth Horizon 4,4,105,63,2215,81,US
Ford Escort 4W,4,98,65,2045,81,US
Ford Escort 2H,4,98,65,2380,81,US
Volkswagen Jetta,4,105,74,2190,81,Europe
Honda Prelude,4,107,75,2210,81,Japan
Toyota Corolla,4,108,75,2350,81,Japan
Datsun 200SX,4,119,100,2615,81,Japan
Mazda 626,4,120,74,2635,81,Japan
Peugeot 505s Turbo Diesel,4,141,80,3230,81,Europe
Saab 900s,4,121,110,2800,81,Europe
Volvo Diesel,6,145,76,3160,81,Europe
Toyota Cressida,6,168,116,2900,81,Japan
Datsun 810 Maxima,6,146,120,2930,81,Japan
Buick Century,6,231,110,3415,81,US
Oldsmobile Cutlass LS,8,350,105,3725,81,US
Ford Grenada gl,6,200,88,3060,81,US
Chrysler Lebaron Salon,6,225,85,3465,81,US
Chevrolet Cavalier,4,112,88,2605,82,US
Chevrolet Cavalier Wagon,4,112,88,2640,82,US
Chevrolet Cavalier 2-door,4,112,88,2395,82,US
Pontiac J2000 SE Hatchback,4,112,85,2575,82,US
Dodge Aries SE,4,135,84,2525,82,US
Pontiac Phoenix,4,151,90,2735,82,US
Ford Fairmont Futura,4,140,92,2865,82,US
Volkswagen Rabbit l,4,105,74,1980,82,Europe
Mazda GLC Custom l,4,91,68,2025,82,Japan
Mazda GLC Custom,4,91,68,1970,82,Japan
Plymouth Horizon Miser,4,105,63,2125,82,US
Mercury Lynx l,4,98,70,2125,82,US
Nissan Stanza XE,4,120,88,2160,82,Japan
Honda Accord,4,107,75,2205,82,Japan
Toyota Corolla,4,108,70,2245,82,Japan
Honda Civic,4,91,67,1965,82,Japan
Honda Civic (auto),4,91,67,1965,82,Japan
Datsun 310 GX,4,91,67,1995,82,Japan
Buick Century Limited,6,181,110,2945,82,US
Oldsmobile Cutlass Ciera (diesel),6,262,85,3015,82,US
Chrysler Lebaron Medallion,4,156,92,2585,82,US
Ford Grenada l,6,232,112,2835,82,US
Toyota Celica GT,4,144,96,2665,82,Japan
Dodge Charger 2.2,4,135,84,2370,82,US
Chevrolet Camaro,4,151,90,2950,82,US
Ford Mustang GL,4,140,86,2790,82,US
Volkswagen Pickup,4,97,52,2130,82,Europe
Dodge Rampage,4,135,84,2295,82,US
Ford Ranger,4,120,79,2625,82,US
Chevy S-10,4,119,82,2720,82,US
